customer_id,sessions,orders,revenue,avg_order_value,avg_time_on_site
5176,6,4,15955.15,2659.1916666666666,744.8333333333334
1738,3,3,13800.96,4600.32,1403.0
2994,6,3,12989.279999999999,2164.8799999999997,495.6666666666667
7574,4,2,12451.970000000001,3112.9925000000003,1380.5
1334,8,5,12203.21,1525.40125,794.0
1506,5,4,11867.1,2373.42,1118.6
3645,4,2,11806.82,2951.705,1150.25
7744,5,4,11728.23,2345.6459999999997,1026.0
4004,4,3,11708.76,2927.19,1251.5
6256,7,3,11609.37,1658.4814285714288,959.7142857142857
6085,5,3,11545.2,2309.04,819.4
9658,8,5,11532.05,1441.50625,905.375
8608,5,3,11392.83,2278.566,1445.4
9476,6,4,11059.96,1843.3266666666666,1107.0
8078,3,2,10990.96,3663.653333333333,1146.6666666666667
2939,7,5,10970.79,1567.2557142857145,807.4285714285714
2359,5,3,10788.55,2157.71,1344.6
7882,7,3,10689.26,1527.037142857143,678.1428571428571
6312,4,3,10562.77,2640.6925,1057.25
1973,5,2,10467.41,2093.482,1104.4
1661,5,3,10152.52,2030.5040000000001,1171.0
5952,5,3,10124.29,2024.8580000000002,785.2
3441,3,3,10079.25,3359.75,941.6666666666666
7015,7,5,10077.0,1439.5714285714287,1122.142857142857
2585,5,3,10070.72,2014.1439999999998,797.0
9990,6,2,10009.98,1668.33,820.5
7171,7,4,9938.119999999999,1419.7314285714285,892.4285714285714
7604,3,2,9822.45,3274.15,1460.0
3638,6,3,9572.16,1595.36,1163.8333333333333
3630,6,2,9547.78,1591.2966666666669,670.8333333333334
1316,7,5,9432.31,1347.472857142857,856.4285714285714
5403,3,2,9428.04,3142.6800000000003,196.0
7759,3,2,9361.09,3120.3633333333332,753.0
7986,7,3,9308.619999999999,1329.802857142857,962.2857142857143
3746,3,2,9284.9,3094.9666666666667,1158.3333333333333
7963,5,2,9165.64,1833.128,713.4
1187,3,2,9145.76,3048.5866666666666,1133.6666666666667
2509,5,4,9080.46,1816.0919999999999,278.8
4798,3,2,9076.93,3025.6433333333334,691.3333333333334
8085,3,2,9065.48,3021.8266666666664,1250.3333333333333
3950,5,2,9031.64,1806.328,726.2
7609,4,3,9031.48,2257.87,1209.25
7512,5,3,8996.67,1799.334,1401.2
5852,9,3,8973.34,997.0377777777778,884.8888888888889
4949,4,2,8753.49,2188.3725,1059.25
2041,3,2,8680.05,2893.35,1219.3333333333333
7437,2,2,8666.23,4333.115,390.5
4688,3,2,8653.130000000001,2884.376666666667,1053.0
1608,5,4,8634.02,1726.804,630.4
2607,2,2,8590.07,4295.035,602.0
7909,6,2,8588.0,1431.3333333333333,314.8333333333333
3927,3,2,8560.119999999999,2853.373333333333,776.0
5004,4,2,8443.94,2110.985,1207.25
4162,5,3,8425.67,1685.134,1144.4
7970,3,2,8419.46,2806.486666666666,912.0
9636,6,4,8408.52,1401.42,824.1666666666666
2574,6,3,8379.22,1396.5366666666666,1218.5
6126,4,2,8373.25,2093.3125,1133.25
4822,4,2,8346.199999999999,2086.5499999999997,738.75
8435,4,2,8343.869999999999,2085.9674999999997,1025.75
4479,3,2,8329.7,2776.566666666667,699.6666666666666
